Starting Balance: 100000.00
Trade 161: LOSS | Profit: -0.66 | Balance: 101681.05 | Win Rate: 0.4224
Trade 162: WIN | Profit: 4.83 | Balance: 101715.89 | Win Rate: 0.4259
Trade 163: WIN | Profit: 0.39 | Balance: 101776.60 | Win Rate: 0.4294
Trade 164: WIN | Profit: 0.01 | Balance: 101836.63 | Win Rate: 0.4329
Trade 165: WIN | Profit: 0.47 | Balance: 101867.10 | Win Rate: 0.4364
Trade 166: WIN | Profit: 0.03 | Balance: 101897.14 | Win Rate: 0.4398
Trade 167: LOSS | Profit: -0.19 | Balance: 101886.95 | Win Rate: 0.4371
Trade 168: LOSS | Profit: -0.10 | Balance: 101876.84 | Win Rate: 0.4345
Trade 169: WIN | Profit: 0.15 | Balance: 101906.99 | Win Rate: 0.4379
Trade 170: WIN | Profit: 0.21 | Balance: 101937.20 | Win Rate: 0.4412
Trade 171: WIN | Profit: 0.27 | Balance: 101967.47 | Win Rate: 0.4444
Trade 172: LOSS | Profit: -0.02 | Balance: 101957.45 | Win Rate: 0.4419
Trade 173: LOSS | Profit: -0.08 | Balance: 101947.38 | Win Rate: 0.4393
Trade 174: WIN | Profit: 0.09 | Balance: 101977.47 | Win Rate: 0.4425
Trade 175: LOSS | Profit: -0.15 | Balance: 101967.32 | Win Rate: 0.4400
Trade 176: LOSS | Profit: -0.05 | Balance: 101957.27 | Win Rate: 0.4375
Trade 177: WIN | Profit: 0.07 | Balance: 101987.34 | Win Rate: 0.4407
Trade 178: LOSS | Profit: -0.21 | Balance: 101977.13 | Win Rate: 0.4382
Trade 179: LOSS | Profit: -0.92 | Balance: 101966.21 | Win Rate: 0.4358
Trade 180: WIN | Profit: 0.01 | Balance: 101996.22 | Win Rate: 0.4389
Trade 181: WIN | Profit: 0.94 | Balance: 102027.16 | Win Rate: 0.4420
Trade 182: LOSS | Profit: -0.28 | Balance: 102016.88 | Win Rate: 0.4396
Trade 183: WIN | Profit: 1.95 | Balance: 102048.83 | Win Rate: 0.4426
Trade 184: LOSS | Profit: -0.03 | Balance: 102038.80 | Win Rate: 0.4402
Trade 185: WIN | Profit: 0.06 | Balance: 102068.86 | Win Rate: 0.4432
Trade 186: LOSS | Profit: -0.06 | Balance: 102058.79 | Win Rate: 0.4409
Trade 187: WIN | Profit: 0.07 | Balance: 102088.86 | Win Rate: 0.4439
Trade 188: WIN | Profit: 0.02 | Balance: 102118.88 | Win Rate: 0.4468
Trade 189: WIN | Profit: 0.04 | Balance: 102178.98 | Win Rate: 0.4497
Trade 190: LOSS | Profit: -0.00 | Balance: 102168.98 | Win Rate: 0.4474
Trade 191: WIN | Profit: 0.14 | Balance: 102199.11 | Win Rate: 0.4503
Trade 192: WIN | Profit: 0.04 | Balance: 102229.15 | Win Rate: 0.4531
Trade 193: LOSS | Profit: -0.25 | Balance: 102218.91 | Win Rate: 0.4508
Trade 194: LOSS | Profit: -0.19 | Balance: 102208.71 | Win Rate: 0.4485
Trade 195: WIN | Profit: 0.04 | Balance: 102238.75 | Win Rate: 0.4513
Trade 196: LOSS | Profit: -0.26 | Balance: 102228.49 | Win Rate: 0.4490
Trade 197: LOSS | Profit: -0.02 | Balance: 102218.48 | Win Rate: 0.4467
Trade 198: WIN | Profit: 0.03 | Balance: 102248.51 | Win Rate: 0.4495
Trade 199: LOSS | Profit: -0.04 | Balance: 102238.47 | Win Rate: 0.4472
Trade 200: WIN | Profit: 0.02 | Balance: 102268.49 | Win Rate: 0.4500
Trade 201: LOSS | Profit: -0.04 | Balance: 102258.44 | Win Rate: 0.4478
Trade 202: LOSS | Profit: -0.14 | Balance: 102248.31 | Win Rate: 0.4455
Trade 203: WIN | Profit: 0.02 | Balance: 102278.33 | Win Rate: 0.4483
Trade 204: WIN | Profit: 0.03 | Balance: 102308.35 | Win Rate: 0.4510
Trade 205: LOSS | Profit: -0.09 | Balance: 102328.37 | Win Rate: 0.4488
Trade 206: WIN | Profit: 0.03 | Balance: 102388.45 | Win Rate: 0.4515
Trade 207: WIN | Profit: 0.02 | Balance: 102418.46 | Win Rate: 0.4541
Trade 208: LOSS | Profit: -0.02 | Balance: 102408.44 | Win Rate: 0.4519
Trade 209: WIN | Profit: 0.02 | Balance: 102438.47 | Win Rate: 0.4545
Trade 210: WIN | Profit: 0.03 | Balance: 102498.53 | Win Rate: 0.4571
Trade 211: LOSS | Profit: -0.06 | Balance: 102488.47 | Win Rate: 0.4550
Trade 212: WIN | Profit: 0.80 | Balance: 102519.27 | Win Rate: 0.4575
Trade 213: WIN | Profit: 0.00 | Balance: 102549.28 | Win Rate: 0.4601
Trade 214: WIN | Profit: 0.03 | Balance: 102579.30 | Win Rate: 0.4626
Trade 215: LOSS | Profit: -0.09 | Balance: 102569.22 | Win Rate: 0.4605
Trade 216: LOSS | Profit: -0.00 | Balance: 102559.22 | Win Rate: 0.4583
Trade 217: LOSS | Profit: -0.02 | Balance: 102549.19 | Win Rate: 0.4562
Trade 218: LOSS | Profit: -0.02 | Balance: 102569.21 | Win Rate: 0.4541
Trade 219: LOSS | Profit: -0.10 | Balance: 102559.11 | Win Rate: 0.4521
Trade 220: LOSS | Profit: -0.09 | Balance: 102549.02 | Win Rate: 0.4500
Trade 221: WIN | Profit: 0.07 | Balance: 102609.14 | Win Rate: 0.4525
Trade 222: LOSS | Profit: -0.00 | Balance: 102599.14 | Win Rate: 0.4505
Trade 223: LOSS | Profit: -0.04 | Balance: 102589.10 | Win Rate: 0.4484
Trade 224: LOSS | Profit: -0.10 | Balance: 102579.00 | Win Rate: 0.4464
Trade 225: LOSS | Profit: -0.25 | Balance: 102568.74 | Win Rate: 0.4444
